Rank,Company Name,Webpage,Description,Location,Year end,Annual sales rise over 3 years,Sales,Staff,Comments
36,FeaturespaceAnalytics software developer,https://www.fasttrack.co.uk/company_profile/featurespace-4/,Its technology has helped protect vulnerable people from online fraud during the pandemic,Cambridge,Dec 19,93.42%,"*17,746",242,Its technology has helped protect vulnerable people from online fraud during the pandemic
37,FruugoOnline shopping platform,https://www.fasttrack.co.uk/company_profile/fruugo-2/,Its sales increased around 200% in the first few months of the pandemic,Cumbria,Dec 19,91.34%,"*10,265",44,Its sales increased around 200% in the first few months of the pandemic
38,OTA InsightHospitality technology provider,https://www.fasttrack.co.uk/company_profile/ota-insight-3/,Its technology supported hotel groups to reopen after lockdown,Central London,Dec 19,88.89%,"*17,156",200,Its technology supported hotel groups to reopen after lockdown
39,MonterosaAudience interaction platform,https://www.fasttrack.co.uk/company_profile/monterosa-2/,Its platform helped audiences of a German TV show express opinions on the Covid-19 crisis in real time,Central London,Mar 20,88.77%,"*10,325",80,Its platform helped audiences of a German TV show express opinions on the Covid-19 crisis in real time
40,Azuri TechnologiesSolar technology developer,https://www.fasttrack.co.uk/company_profile/azuri-technologies-2/,Its solar panel systems has helped rural children in Kenya access educational content during the pandemic,Cambridge,Dec 19,88.27%,"*12,425",100,Its solar panel systems has helped rural children in Kenya access educational content during the pandemic
41,GoustoMeal kit delivery services,https://www.fasttrack.co.uk/company_profile/gousto-3/,Launched a “food-finder directory” during lockdown to help small UK food businesses find local customers,West London,Dec 19,86.34%,"82,526",411,Launched a “food-finder directory” during lockdown to help small UK food businesses find local customers
42,FirespriteVideo games developer,https://www.fasttrack.co.uk/company_profile/firesprite/,Is growing its team by focusing on experienced developers and recent graduates,Liverpool,Oct 19,80.59%,"*6,186",107,Is growing its team by focusing on experienced developers and recent graduates
43,EndomagMedical device developer,https://www.fasttrack.co.uk/company_profile/endomag-2/,"Provided free products worth £150,000 for the NHS to continue essential cancer treatments during Covid-19",Cambridge,Dec 19,80.10%,"*9,045",29,"Provided free products worth £150,000 for the NHS to continue essential cancer treatments during Covid-19"
44,GOTO GroupProperty management platform,https://www.fasttrack.co.uk/company_profile/goto-group/,Its online auction service saw a record increase in property listings during April,Oxfordshire,Mar 20,80.07%,"*6,371",44,Its online auction service saw a record increase in property listings during April
45,FleetondemandCorporate mobility platform,https://www.fasttrack.co.uk/company_profile/fleetondemand/,Recently launched its services in France and Germany despite difficult trading conditions,West Yorkshire,Dec 19,79.90%,"*16,188",35,Recently launched its services in France and Germany despite difficult trading conditions
46,Person Centred SoftwareSocial care software,https://www.fasttrack.co.uk/company_profile/person-centred-software/,Made its video call and messaging portal free of charge to keep residents and their families connected,Guildford,May 20,78.18%,"*6,250",39,Made its video call and messaging portal free of charge to keep residents and their families connected
47,Global-eCross-border e-commerce solutions,https://www.fasttrack.co.uk/company_profile/global-e-3/,Says its e-commerce customers' cross-border sales increased by 101% after the onset of the pandemic,Central London,Dec 19,77.70%,"*46,396",35,Says its e-commerce customers' cross-border sales increased by 101% after the onset of the pandemic
48,HutchMobile games developer,https://www.fasttrack.co.uk/company_profile/hutch-4/,Expanded its calendar of live events in games to keep players entertained during lockdown,Central London,Sep 19,77.59%,"15,076",75,Expanded its calendar of live events in games to keep players entertained during lockdown
49,SoPostOnline product sampling,https://www.fasttrack.co.uk/company_profile/sopost-2/,Says the coronavirus pandemic has changed the rules of product sampling,Newcastle-Upon-Tyne,Sep 19,77.50%,"*5,277",34,Says the coronavirus pandemic has changed the rules of product sampling
50,OguryMobile advertising technology,https://www.fasttrack.co.uk/company_profile/ogury-5/,Has launched a campaign to encourage smartphone users to clean their devices to help combat Covid-19,East London,Dec 19,76.75%,"*83,086",380,Has launched a campaign to encourage smartphone users to clean their devices to help combat Covid-19
51,GiacomCloud services provider,https://www.fasttrack.co.uk/company_profile/giacom-4/,Helped small businesses during the pandemic by offering its latest cloud server product free of charge,Hull,Jul 19,74.90%,"35,466",63,Helped small businesses during the pandemic by offering its latest cloud server product free of charge
52,Lending WorksConsumer lending platform,https://www.fasttrack.co.uk/company_profile/lending-works-2/,Added an automated payment holiday feature to its platform to support its loan customers,Central London,Dec 19,74.82%,"*7,646",42,Added an automated payment holiday feature to its platform to support its loan customers
53,ThunderheadCustomer journey technology,https://www.fasttrack.co.uk/company_profile/thunderhead/,Set up a Covid-19 task force to support brands in identifying their key workers and most vulnerable customers,Central London,Jan 20,74.45%,"*7,600",130,Set up a Covid-19 task force to support brands in identifying their key workers and most vulnerable customers
54,AdludioMobile advertising technology,https://www.fasttrack.co.uk/company_profile/adludio-2/,Made remote working permanent after a successful period of working from home during lockdown,Central London,Dec 19,73.09%,"*7,710",65,Made remote working permanent after a successful period of working from home during lockdown
55,Checkout.comPayment services provider,https://www.fasttrack.co.uk/company_profile/checkout-com-3/,Says the pandemic has boosted sales by accelerating the shift towards online payments,Central London,Dec 19,73.02%,"*114,707",750,Says the pandemic has boosted sales by accelerating the shift towards online payments
56,EnerQuipOil field equipment manufacturer,https://www.fasttrack.co.uk/company_profile/enerquip/,Has seen an increase in demand this year as oil and gas companies need to make cost savings,Aberdeen,Dec 19,72.96%,"*11,044",61,Has seen an increase in demand this year as oil and gas companies need to make cost savings
57,COPA90Digital football community,https://www.fasttrack.co.uk/company_profile/copa90/,Built a clubhouse in Paris for the 2019 Women’s World Cup — the only site in the city to show every game,Central London,Dec 19,72.60%,"*15,987",50,Built a clubhouse in Paris for the 2019 Women’s World Cup — the only site in the city to show every game
58,DarktraceCyber-security developer,https://www.fasttrack.co.uk/company_profile/darktrace-6/,Its AI has detected and countered multiple malicious attacks associated with Russian hacking group Evil Corp,Cambridge,Jun 20,72.54%,"*158,000","1,240",Its AI has detected and countered multiple malicious attacks associated with Russian hacking group Evil Corp
59,EUSA PharmaBiopharmaceuticals developer,https://www.fasttrack.co.uk/company_profile/eusa-pharma/,"Received FDA approval for its Siltuximab drug trial, which has shown increased survival rates for Covid patients",Hemel Hempstead,Dec 19,70.45%,"92,628",115,"Received FDA approval for its Siltuximab drug trial, which has shown increased survival rates for Covid patients"
60,ExcelRedstoneIT infrastructure provider,https://www.fasttrack.co.uk/company_profile/excelredstone-2/,Its expertise in data centre infrastructure is supporting remote working during the pandemic,Central London,Dec 19,68.84%,"†112,841",661,Its expertise in data centre infrastructure is supporting remote working during the pandemic
61,GoCardlessPayment services provider,https://www.fasttrack.co.uk/company_profile/gocardless-4/,Published its cost-cutting measures in response to the Covid-19 crisis to support other firms,Central London,Dec 19,68.35%,"*29,295",322,Published its cost-cutting measures in response to the Covid-19 crisis to support other firms
62,ENSEKEnergy software developer,https://www.fasttrack.co.uk/company_profile/ensek-3/,Launched energy comparison platform Tickd during the pandemic to help small businesses lower costs,Nottingham,Mar 20,68.04%,"*12,388",175,Launched energy comparison platform Tickd during the pandemic to help small businesses lower costs
63,Spectrum MedicalMedical device developer,https://www.fasttrack.co.uk/company_profile/spectrum-medical-2/,Its life support systems have been used to treat critically ill Covid-19 patients,Gloucester,Dec 19,66.17%,"*33,128",144,Its life support systems have been used to treat critically ill Covid-19 patients
64,TransferWiseInternational payments provider,https://www.fasttrack.co.uk/company_profile/transferwise-10/,Is waiving fees on donations made through its platform to organisations researching a vaccine for Covid-19,Central London,Mar 20,65.85%,"*302,600","2,200",Is waiving fees on donations made through its platform to organisations researching a vaccine for Covid-19
65,Hyperdrive InnovationBattery technology developer,https://www.fasttrack.co.uk/company_profile/hyperdrive-innovation-3/,Maintained production of its hi-tech lithium battery systems throughout the pandemic,Sunderland,Mar 20,65.81%,"*7,522",43,Maintained production of its hi-tech lithium battery systems throughout the pandemic
66,HyperopticInternet services provider,https://www.fasttrack.co.uk/company_profile/hyperoptic-4/,Its broadband engineers were classified as key workers during the pandemic,West London,Dec 19,64.70%,"*39,205","1,179",Its broadband engineers were classified as key workers during the pandemic
67,Lockwood PublishingMobile games developer,https://www.fasttrack.co.uk/company_profile/lockwood-publishing-2/,Its flagship Avakin Life game hit 1.4 million daily active users during lockdown,Nottingham,Mar 20,63.61%,"*22,692",124,Its flagship Avakin Life game hit 1.4 million daily active users during lockdown
68,BigChangeWorkforce management software,https://www.fasttrack.co.uk/company_profile/bigchange-3/,"Developed new software, such as no-touch signatures, to help its clients adapt to Covid-19",Leeds,Dec 19,62.15%,"*15,201",140,"Developed new software, such as no-touch signatures, to help its clients adapt to Covid-19"
69,ClearScoreCredit management app,https://www.fasttrack.co.uk/company_profile/clearscore-3/,Helped more than three million people in the UK manage their finances in June,South London,Dec 19,61.08%,"*55,734",230,Helped more than three million people in the UK manage their finances in June
70,ByteMarketing technology,https://www.fasttrack.co.uk/company_profile/byte-2/,"Continued to create new content during lockdown, including a Snoop Dogg Snapchat lens for Just Eat",Central London,Dec 19,60.91%,"11,999",120,"Continued to create new content during lockdown, including a Snoop Dogg Snapchat lens for Just Eat"
71,ExclaimerEmail signature software developer,https://www.fasttrack.co.uk/company_profile/exclaimer-5/,Its software is used by Buckingham Palace to manage signatures on staff emails,Hampshire,Sep 19,59.62%,"17,461",89,Its software is used by Buckingham Palace to manage signatures on staff emails
72,MUBIOnline streaming service,https://www.fasttrack.co.uk/company_profile/mubi/,Subscriptions doubled during lockdown and viewing figures have tripled compared to last year,Central London,Dec 19,59.54%,"*9,559",77,Subscriptions doubled during lockdown and viewing figures have tripled compared to last year
73,BuddiRemote people monitoring,https://www.fasttrack.co.uk/company_profile/buddi/,Awarded NHSX TechForce19 funding to help councils stay in contact with vulnerable individuals during lockdown,Hertfordshire,Dec 19,58.30%,"*16,265",143,Awarded NHSX TechForce19 funding to help councils stay in contact with vulnerable individuals during lockdown
74,SuperAwesomeChildren's privacy protection,https://www.fasttrack.co.uk/company_profile/superawesome-4/,Its moderated content-sharing platform is helping children discuss their reactions to Covid-19,Central London,Dec 19,58.19%,"*40,300",170,Its moderated content-sharing platform is helping children discuss their reactions to Covid-19
75,Godel TechnologiesSoftware developer,https://www.fasttrack.co.uk/company_profile/godel-technologies-4/,"Delivered 180 pieces of PPE to a school in Belarus, where it is has six locations",Manchester,Dec 19,57.84%,"*35,594","1,170","Delivered 180 pieces of PPE to a school in Belarus, where it is has six locations"
76,gohenryChildren's pre-paid card service,https://www.fasttrack.co.uk/company_profile/gohenry-3/,Says online spending on its debit card for children rose 65% in the first two weeks of the lockdown,Central London,Dec 19,57.26%,"*12,819",117,Says online spending on its debit card for children rose 65% in the first two weeks of the lockdown
